type,source_id,answer_id,adds_points_to,points
COPING,c1,c1_scan,hypervigilance,3
COPING,c1,c1_others_first,people_pleasing,3
COPING,c1,c1_push_down,emotional_suppression,3
COPING,c1,c1_alone,difficulty_trusting,3
COPING,c2,c2_replay,hypervigilance,2
COPING,c2,c2_apologize,people_pleasing,3
COPING,c2,c2_avoid,conflict_avoidance,3
COPING,c2,c2_pullback,difficulty_trusting,2
COPING,c3,c3_guilty,difficulty_resting,3
COPING,c3,c3_others_first,responsibility_overload,3
COPING,c3,c3_earned,overachievement,3
COPING,c3,c3_alert,hypervigilance,2
COPING,c4,c4_next,overachievement,3
COPING,c4,c4_relief,difficulty_resting,2
COPING,c4,c4_downplay,emotional_suppression,2
COPING,c4,c4_expectations,responsibility_overload,2
COPING,c5,c5_guarded,difficulty_trusting,3
COPING,c5,c5_their_needs,people_pleasing,3
COPING,c5,c5_no_friction,conflict_avoidance,3
COPING,c5,c5_responsible,responsibility_overload,3
COPING,c6,c6_analyze,emotional_suppression,3
COPING,c6,c6_contain,emotional_suppression,2
COPING,c6,c6_channel,responsibility_overload,2
COPING,c6,c6_watch,hypervigilance,2
COPING,c7,c7_often,hypervigilance,3
COPING,c7,c7_sometimes,hypervigilance,1
COPING,c7,c7_rarely,none,0
COPING,c8,c8_rarely_ask,difficulty_trusting,3
COPING,c8,c8_manage_alone,responsibility_overload,2
COPING,c8,c8_burden,people_pleasing,2
COPING,c8,c8_ask_easily,none,0
STRESSOR,work,,overachievement,1
STRESSOR,work,,difficulty_resting,1
STRESSOR,school,,overachievement,1
STRESSOR,school,,hypervigilance,1
STRESSOR,finances,,responsibility_overload,1
STRESSOR,finances,,hypervigilance,1
STRESSOR,family,,people_pleasing,1
STRESSOR,family,,conflict_avoidance,1
STRESSOR,relationships,,difficulty_trusting,1
STRESSOR,relationships,,people_pleasing,1
STRESSOR,parenting,,responsibility_overload,1
STRESSOR,parenting,,difficulty_resting,1
STRESSOR,health,,hypervigilance,1
STRESSOR,health,,emotional_suppression,1
STRESSOR,grief,,emotional_suppression,1
STRESSOR,grief,,difficulty_trusting,1
STRESSOR,uncertainty,,hypervigilance,1
STRESSOR,uncertainty,,responsibility_overload,1
